,event_date,longitude,latitude,treecover2000
357,2008-01-06 00:00:00,112.6278,-7.972,12
358,2008-01-06 00:00:00,-123.8405,44.0302,71
359,2008-01-06 00:00:00,73.4538,34.3932,12
360,2008-01-07 00:00:00,75.1923,33.4341,27
361,2008-01-07 00:00:00,-117.3042,33.0643,0
362,2008-01-07 00:00:00,-116.9016,32.5755,0
363,2008-01-10 00:00:00,-122.3829,44.8268,89
364,2008-01-13 00:00:00,117.1703,40.0074,0
365,2008-01-14 00:00:00,125.5583,7.0932,78
366,2008-01-15 00:00:00,-4.2571,55.8657,0
367,2008-01-15 00:00:00,55.652,25.5768,0
368,2008-01-15 00:00:00,140.7058,-2.5338,0
369,2008-01-16 02:00:00,126.0367,7.8253,0
370,2008-01-16 17:30:00,101.3941,4.4606,95
371,2008-01-19 00:00:00,138.4333,36.3167,0
372,2008-01-19 00:00:00,-122.3985,43.7548,67
373,2008-01-22 00:00:00,-2.2389,53.792,0
374,2008-01-24 00:00:00,-2.3939,51.5392,0
375,2008-01-28 19:30:00,-117.2619,32.8464,6
376,2008-01-31 00:00:00,-123.679,44.0302,98
377,2008-01-31 23:30:00,125.5986,7.8339,86
378,2008-02-03 00:00:00,67.3833,29.7,0
379,2008-02-03 00:00:00,-43.1314,-22.3758,100
380,2008-02-03 00:00:00,153.2298,-28.0667,90
381,2008-02-05 00:00:00,-79.8965,40.1833,100
382,2008-02-05 00:00:00,106.2839,-6.4978,0
383,2008-02-06 00:00:00,109.0338,-6.8644,0
384,2008-02-08 00:00:00,77.6092,12.9752,0
385,2008-02-09 00:00:00,-79.9458,40.4934,0
386,2008-02-11 00:00:00,-121.086,47.7463,0
387,2008-02-13 00:00:00,76.7937,11.3484,0
388,2008-02-15 00:00:00,110.8667,-6.7333,11
389,2008-02-16 00:00:00,-122.4936,37.6475,0
390,2008-02-17 00:00:00,125.4357,12.0478,0
391,2008-02-19 00:00:00,124.3101,13.8701,6
392,2008-02-19 00:00:00,35.7834,33.8122,0
393,2008-02-20 00:00:00,108.701,14.9923,78
394,2008-02-23 00:00:00,125.8992,7.1633,92
395,2008-02-23 00:00:00,173.7463,-35.047,71
396,2008-02-24 00:00:00,109.0217,32.6751,27
397,2008-02-25 00:00:00,121.0922,14.6394,0
398,2008-02-28 00:00:00,-77.8928,-0.4635,89
399,2008-03-04 00:00:00,-79.9321,40.4278,89
400,2008-03-05 00:00:00,145.7231,-16.9135,0
401,2008-03-05 00:00:00,-76.1311,-9.2114,5
402,2008-03-05 00:00:00,145.6331,-16.8164,67
403,2008-03-06 00:00:00,-118.4309,34.0312,0
404,2008-03-07 00:00:00,122.9747,10.7349,0
405,2008-03-09 00:00:00,-73.6385,42.7404,16
406,2008-03-10 00:00:00,-79.7822,40.4041,93
407,2008-03-13 00:00:00,101.4173,-2.233,85
408,2008-03-14 00:00:00,-80.613,40.4634,99
