event_date,longitude,latitude,temp
2007-12-03 00:00:00,-123.1628,47.3434,12.2
2007-12-03 10:00:00,-123.1341,49.3,10.3
2007-12-04 17:30:00,-123.8673,43.6768,13.2
2007-12-05 00:00:00,107.4435,-6.7883,22.3
2007-12-05 00:00:00,-122.416,47.645,7.3
2007-12-07 14:30:00,-158.121,21.462,22.0
2007-12-08 00:00:00,-84.822,39.101,2.6
2007-12-08 00:00:00,-122.2039,47.4728,2.1
2007-12-11 00:00:00,38.235,-3.571,24.9
2007-12-11 00:00:00,-60.566,11.267,26.6
2007-12-11 00:00:00,-60.644,11.3,26.6
2007-12-11 00:00:00,-70.707,19.455,22.0
2007-12-11 12:00:00,-123.336,46.1049,2.2
2007-12-12 00:00:00,-66.051,18.432,25.3
2007-12-12 00:00:00,-123.204,46.103,3.0
2007-12-16 00:00:00,-79.7569,40.3875,0.1
2007-12-19 00:00:00,-74.7631,4.847,12.0
2007-12-24 00:00:00,81.0473,6.9935,20.1
2007-12-26 00:00:00,111.1835,-7.6511,24.1
2007-12-26 00:00:00,109.547,-7.6213,27.3
2007-12-31 00:00:00,111.1167,-7.6667,23.8
2008-01-01 00:00:00,-79.732,40.3916,0.1
2008-01-03 00:00:00,125.1251,10.1831,23.7
2008-01-03 00:00:00,106.5458,29.5524,8.0
2008-01-03 00:00:00,125.2172,10.0374,23.9
2008-01-03 00:00:00,114.4396,4.6401,26.3
2008-01-04 00:00:00,105.9,20.5667,15.1
2008-01-06 00:00:00,-117.207,32.8008,12.6
2008-01-06 00:00:00,112.6278,-7.972,28.3
2008-01-06 00:00:00,-123.8405,44.0302,2.7
2008-01-06 00:00:00,73.4538,34.3932,5.3
2008-01-07 00:00:00,75.1923,33.4341,2.7
2008-01-07 00:00:00,-117.3042,33.0643,12.2
2008-01-07 00:00:00,-116.9016,32.5755,12.0
2008-01-10 00:00:00,-122.3829,44.8268,9.1
2008-01-13 00:00:00,117.1703,40.0074,-5.5
2008-01-14 00:00:00,125.5583,7.0932,26.5
2008-01-15 00:00:00,-4.2571,55.8657,3.5
2008-01-15 00:00:00,55.652,25.5768,17.2
2008-01-15 00:00:00,140.7058,-2.5338,26.6
2008-01-16 02:00:00,126.0367,7.8253,26.7
2008-01-16 17:30:00,101.3941,4.4606,27.7
2008-01-19 00:00:00,138.4333,36.3167,-5.6
2008-01-19 00:00:00,-122.3985,43.7548,2.9
2008-01-22 00:00:00,-2.2389,53.792,3.0
2008-01-24 00:00:00,-2.3939,51.5392,7.5
2008-01-28 19:30:00,-117.2619,32.8464,11.6
2008-01-31 00:00:00,-123.679,44.0302,5.1
2008-01-31 23:30:00,125.5986,7.8339,27.4
2008-02-03 00:00:00,67.3833,29.7,7.1
2008-02-03 00:00:00,-43.1314,-22.3758,24.4
2008-02-03 00:00:00,153.2298,-28.0667,24.4
2008-02-05 00:00:00,-79.8965,40.1833,13.1
2008-02-05 00:00:00,106.2839,-6.4978,26.8
2008-02-06 00:00:00,109.0338,-6.8644,27.0
2008-02-08 00:00:00,77.6092,12.9752,23.6
2008-02-09 00:00:00,-79.9458,40.4934,3.2
2008-02-11 00:00:00,-121.086,47.7463,1.6
2008-02-13 00:00:00,76.7937,11.3484,26.7
2008-02-15 00:00:00,110.8667,-6.7333,25.8
2008-02-16 00:00:00,-122.4936,37.6475,9.1
2008-02-17 00:00:00,125.4357,12.0478,24.6
2008-02-19 00:00:00,124.3101,13.8701,24.6
2008-02-19 00:00:00,35.7834,33.8122,9.3
2008-02-20 00:00:00,108.701,14.9923,20.6
2008-02-23 00:00:00,125.8992,7.1633,27.5
2008-02-23 00:00:00,173.7463,-35.047,19.6
2008-02-24 00:00:00,109.0217,32.6751,4.4
2008-02-25 00:00:00,121.0922,14.6394,26.3
2008-02-28 00:00:00,-77.8928,-0.4635,13.0
2008-03-04 00:00:00,-79.9321,40.4278,5.5
2008-03-05 00:00:00,145.7231,-16.9135,23.7
2008-03-05 00:00:00,-76.1311,-9.2114,25.5
2008-03-05 00:00:00,145.6331,-16.8164,23.7
2008-03-06 00:00:00,-118.4309,34.0312,14.1
2008-03-07 00:00:00,122.9747,10.7349,24.5
2008-03-09 00:00:00,-73.6385,42.7404,-2.2
2008-03-10 00:00:00,-79.7822,40.4041,0.1
2008-03-13 00:00:00,101.4173,-2.233,21.8
2008-03-14 00:00:00,-80.613,40.4634,6.2
2008-03-16 00:00:00,-84.2992,39.096,5.3
2008-03-20 23:00:00,125.4616,6.5309,25.9
2008-03-22 00:00:00,108.45,21.85,21.8
2008-03-24 00:00:00,-80.707,40.5573,-0.4
2008-03-26 00:00:00,6.1628,62.4746,-0.6
2008-03-28 00:00:00,-84.5657,39.1072,6.5
2008-04-01 00:00:00,-90.4312,38.9716,7.3
2008-04-01 00:00:00,-78.5347,-0.2196,11.7
2008-04-05 00:00:00,74.9985,33.9337,11.7
2008-04-05 00:00:00,73.1879,34.6861,11.5
2008-04-08 00:00:00,-80.0726,40.5531,13.5
2008-04-09 00:00:00,144.9642,-6.0377,27.1
2008-04-11 00:00:00,-90.857,43.6516,5.4
2008-04-11 00:00:00,-77.6613,-9.2965,18.1
2008-04-13 00:00:00,-106.4879,39.625,0.6
2008-04-16 00:00:00,100.4322,-0.9672,26.6
2008-04-16 00:00:00,-77.1007,18.4054,27.0
2008-04-19 00:00:00,13.4343,54.417,5.6
2008-04-19 00:00:00,110.85,31.1667,16.3
2008-04-20 00:00:00,178.4367,-17.9665,26.0
2008-04-20 00:00:00,114.0684,22.5777,26.2
2008-04-23 07:30:00,101.7673,3.185,26.8
2008-04-25 00:00:00,-91.6396,44.0344,13.1
2008-04-27 00:00:00,80.1744,6.7397,26.3
2008-04-28 00:00:00,80.3643,6.9634,26.9
2008-04-29 00:00:00,-71.6923,44.4175,4.7
2008-04-29 00:00:00,-72.0358,43.3207,6.7
2008-04-29 00:00:00,-117.8532,50.3162,7.8
2008-05-01 00:00:00,80.0317,7.1907,29.5
2008-05-02 00:00:00,123.8827,10.4014,28.8
2008-05-02 03:00:00,9.2307,61.9934,5.7
2008-05-05 00:00:00,23.3981,43.0797,12.2
2008-05-05 00:00:00,74.9845,33.9513,14.1
2008-05-05 00:00:00,136.0438,-4.4032,24.2
2008-05-06 00:00:00,-2.9383,50.729,14.6
2008-05-07 00:00:00,123.7183,10.5339,28.2
2008-05-09 00:00:00,106.4167,23.1333,23.2
2008-05-09 00:00:00,175.2362,-41.5877,12.8
2008-05-09 00:00:00,-79.7199,36.6619,21.1
2008-05-11 05:45:00,-76.9216,38.8162,11.9
2008-05-12 00:00:00,-81.2584,38.1362,9.5
2008-05-13 00:00:00,123.26,9.2903,24.9
2008-05-14 00:00:00,123.2211,9.2404,27.1
2008-05-17 00:00:00,-116.9875,51.3336,11.4
2008-05-17 00:00:00,120.6769,16.3639,16.0
2008-05-17 00:00:00,103.4823163,31.06891436,24.1
2008-05-17 00:00:00,122.4742,11.0551,26.7
2008-05-18 00:00:00,120.832,16.4956,18.4
2008-05-18 00:00:00,120.7967,16.7489,16.6
2008-05-18 00:00:00,-117.4619,49.7701,18.7
2008-05-19 00:00:00,112.5827,-7.0678,28.8
2008-05-20 00:00:00,-84.5289,39.0447,13.6
2008-05-20 00:00:00,178.3623,-18.0903,24.0
2008-05-21 00:00:00,-122.197,47.5023,11.1
2008-05-22 00:00:00,-117.6428,33.7112,15.3
2008-05-22 00:00:00,-70.4516,-34.103,15.9
2008-05-23 00:00:00,-118.0459,34.1742,14.2
2008-05-24 00:00:00,72.3183,34.8685,22.6
2008-05-24 00:00:00,123.8852,10.3472,26.7
2008-05-28 00:00:00,76.8403,9.7327,28.7
2008-05-28 00:00:00,-106.7839,39.3707,13.6
2008-05-29 00:00:00,-85.3555,10.4024,24.3
2008-05-29 00:00:00,121.2541,14.7231,28.3
2008-05-30 00:00:00,7.376,45.7513,15.3
2008-05-30 00:00:00,7.6639,44.6467,15.8
2008-05-30 00:00:00,7.1526,44.8098,13.0
2008-05-30 00:00:00,80.3897,6.6643,26.2
2008-05-31 00:00:00,-75.6039,6.2746,17.3
2008-06-01 00:00:00,-90.6755,14.4226,18.3
2008-06-02 00:00:00,43.6319,15.5892,21.9
2008-06-02 00:00:00,-89.2687,13.7205,23.3
2008-06-02 00:00:00,35.7774,0.4406,16.9
2008-06-02 06:00:00,123.8359355,10.33602912,28.1
2008-06-06 00:00:00,73.8377,15.3925,26.5
2008-06-06 00:00:00,114.0818,22.6214,23.6
2008-06-06 00:00:00,123.9013,10.3114,28.7
2008-06-06 00:00:00,120.280149,-8.773461589,21.6
2008-06-06 00:00:00,152.8915,-26.8494,18.5
2008-06-07 00:00:00,114.0519,22.3682,24.5
2008-06-07 00:00:00,106.7361,10.7069,27.2
2008-06-07 00:00:00,113.5051,22.7102,24.5
2008-06-07 00:00:00,-86.4209,39.4279,23.4
2008-06-09 00:00:00,93.9784,24.6596,25.4
2008-06-10 00:00:00,119.6038,-4.8386,25.7
2008-06-12 00:00:00,131.5241,33.2367,22.3
2008-06-13 10:20:00,111.3054,37.7356,22.2
2008-06-14 00:00:00,141.0151,38.7175,17.9
2008-06-14 00:00:00,93.6287,27.0998,25.8
2008-06-15 00:00:00,94.0989,27.2298,29.8
2008-06-15 00:00:00,75.0944,32.5659,30.0
2008-06-16 00:00:00,-75.2291,41.942,18.0
2008-06-16 00:00:00,114.3093,30.5475,23.4
2008-06-18 00:00:00,30.6667,-30.3167,18.3
2008-06-18 00:00:00,-90.5403,14.651,20.4
2008-06-19 00:00:00,93.8275,24.9336,24.1
2008-06-20 00:00:00,30.6551,-30.4489,19.1
2008-06-20 00:00:00,-92.9331,35.7885,22.2
2008-06-21 00:00:00,124.6815,6.2189,24.8
2008-06-21 00:00:00,123.08,10.26,24.6
2008-06-21 00:00:00,124.2396,7.1514,26.1
2008-06-21 00:00:00,130.5773,32.6457,23.2
2008-06-22 00:00:00,102.72,25.04,21.8
