event_date,longitude,latitude,humidity
2008-07-17 00:00:00,120.35,22.63,94.76
2008-07-18 00:00:00,80.87,28.9,82.88
2008-07-18 00:00:00,101.0833,19.0833,93.22
2008-07-21 00:00:00,-89.29,14.97,84.06
2008-07-22 00:00:00,87.24,27.6,90.49
2008-07-22 00:00:00,-106.93,39.31,63.18
2008-07-22 00:00:00,-115.72,44.93,74.35
2008-07-22 00:00:00,-111.96,46.67,51.42
2008-07-22 00:00:00,-114.06,44.98,63.46
2008-07-23 00:00:00,-72.7,47.52,91.76
2008-07-24 00:00:00,86.71,27.0,83.49
2008-07-24 00:00:00,119.9833,-1.437,83.28
2008-07-24 00:00:00,128.0,38.122,91.87
2008-07-24 00:00:00,81.3333,29.0833,93.17
2008-07-25 00:00:00,137.2279,36.55,82.31
2008-07-25 00:00:00,128.66,36.98,91.35
2008-07-26 00:00:00,104.48,22.75,91.3
2008-07-27 00:00:00,120.7744,17.58,93.65
2008-07-27 00:00:00,-105.135,37.5588,57.93
2008-07-29 00:00:00,120.65,18.2,77.91
2008-07-29 00:00:00,-123.1758,49.66,89.88
2008-07-30 00:00:00,-123.2317,49.5622,71.5
2008-07-30 00:00:00,96.275,25.606,100.0
2008-07-31 00:00:00,111.8293,38.0432,63.21
2008-07-31 00:00:00,82.1515,28.7236,88.73
2008-07-31 00:00:00,176.5992,-39.8931,70.36
2008-08-01 00:00:00,91.9022,24.896,94.26
2008-08-01 00:00:00,107.45,32.5625,66.5
2008-08-04 00:00:00,121.4196,17.4458,81.46
2008-08-04 00:00:00,-106.715,35.7279,64.12
2008-08-06 00:00:00,-71.9677,44.146,88.98
2008-08-06 00:00:00,-105.248,37.59,69.89
2008-08-06 00:00:00,113.4,23.7,77.27
2008-08-07 00:00:00,-111.59,40.08,61.3
2008-08-07 00:00:00,-116.833,33.047,50.01
2008-08-07 00:00:00,-107.23,39.2,82.51
2008-08-07 00:00:00,104.07,22.2666,84.81
2008-08-08 00:00:00,-110.15,38.9749,59.01
2008-08-09 00:00:00,104.5333,22.8833,99.03
2008-08-09 00:00:00,-3.1,9.833,85.81
2008-08-09 00:00:00,102.0,24.9,84.78
2008-08-09 00:00:00,74.11,15.15,94.36
2008-08-10 00:00:00,75.72,25.08,79.92
2008-08-10 00:00:00,87.919,26.9122,83.77
2008-08-10 00:00:00,73.47,18.72,88.88
2008-08-11 00:00:00,128.4,-3.3,94.38
2008-08-12 00:00:00,74.8122,14.229,95.52
2008-08-13 00:00:00,-8.306,53.665,95.74
2008-08-13 00:00:00,97.938,16.624,87.11
2008-08-14 00:00:00,94.0,27.163,91.77
2008-08-15 00:00:00,81.7557,29.1964,82.58
2008-08-15 00:00:00,74.9277,33.0,83.66
2008-08-15 00:00:00,102.516,18.09,77.01
2008-08-16 00:00:00,-7.2068,53.1468,89.39
2008-08-17 00:00:00,-69.3822,19.056,87.62
2008-08-17 00:00:00,121.045,16.95,91.99
2008-08-18 00:00:00,91.8242,22.3421,96.79
2008-08-18 00:00:00,-75.639,6.08,85.54
2008-08-19 00:00:00,-120.0477,48.3455,78.2
2008-08-19 00:00:00,137.79,36.723,80.19
2008-08-20 00:00:00,120.4525,16.9,95.67
2008-08-20 00:00:00,120.7414,16.316,97.94
2008-08-20 00:00:00,120.5823,16.426,98.03
2008-08-22 00:00:00,-9.43,52.438,80.64
2008-08-22 00:00:00,125.0245,6.133,79.68
2008-08-22 00:00:00,-2.316,56.949,88.88
2008-08-22 00:00:00,102.4839,35.1649,67.49
2008-08-23 00:00:00,-106.08,38.498,46.68
2008-08-23 16:00:00,91.8188,22.344,78.55
2008-08-24 00:00:00,-105.1865,39.2228,57.05
2008-08-25 00:00:00,174.888,-36.9929,91.36
2008-08-25 00:00:00,-99.365,19.436,76.44
2008-08-26 00:00:00,-82.2,35.4213,95.84
2008-08-26 00:00:00,-79.4295,9.1559,76.35
2008-08-26 00:00:00,-69.92,18.55,98.61
2008-08-27 00:00:00,104.6667,22.75,83.97
2008-08-27 00:00:00,81.7,29.2,88.02
2008-08-28 00:00:00,0.3927,7.1878,84.33
2008-08-28 00:00:00,-82.2585,35.4437,85.2
2008-08-28 00:00:00,-76.574,18.0388,87.28
2008-08-28 00:00:00,88.609,27.337,85.07
2008-08-29 00:00:00,87.106,27.499,94.58
2008-08-29 00:00:00,137.1998,34.9489,86.25
2008-08-29 00:00:00,139.28,35.645,83.0
2008-08-29 00:00:00,112.2414,27.2717,79.47
2008-08-31 00:00:00,87.0898,27.4385,84.24
2008-09-03 00:00:00,-9.4709,52.4356,85.84
2008-09-03 00:01:00,103.872,1.397,85.81
2008-09-04 00:00:00,-76.333,17.948,74.08
2008-09-05 00:00:00,-2.68,51.84,94.67
2008-09-06 00:00:00,125.87,7.375,84.09
2008-09-06 00:00:00,100.2487,5.345,95.26
2008-09-06 00:00:00,-72.629,42.228,92.47
2008-09-07 00:00:00,-61.4578,10.7603,89.58
2008-09-07 08:00:00,31.2774,30.0075,62.36
2008-09-09 00:00:00,41.5061,37.9472,33.15
2008-09-10 00:00:00,73.974,15.323,96.59
2008-09-10 23:00:00,149.8098,-32.8091,65.52
2008-09-11 00:00:00,-13.2279,8.646,85.02
2008-09-14 00:00:00,120.8922,24.5646,91.41
2008-09-14 00:00:00,121.4479,24.959,90.35
2008-09-15 00:00:00,121.0134,23.6539,92.32
2008-09-18 00:00:00,103.95,27.137,74.57
2008-09-18 00:00:00,44.743,41.73,59.16
2008-09-19 00:00:00,77.3,30.56,96.79
2008-09-19 00:00:00,83.4724,27.72,84.72
2008-09-20 00:00:00,-114.371,43.7,67.2
2008-09-20 00:00:00,124.379,13.757,92.22
2008-09-21 00:00:00,80.9,28.833,89.68
2008-09-21 00:00:00,81.48,28.51,89.68
2008-09-22 00:00:00,77.08,30.7,85.05
2008-09-22 00:00:00,120.6,16.379,97.76
2008-09-22 00:00:00,120.587,16.427,97.7
2008-09-23 00:00:00,120.66,16.39,94.31
2008-09-23 00:00:00,120.6,18.23,88.46
2008-09-23 00:00:00,120.56,16.455,94.13
2008-09-24 00:00:00,106.76,-6.67,81.01
2008-09-24 00:00:00,103.4928695,31.07383383,87.56
2008-09-24 00:00:00,121.15,14.675,95.12
2008-09-24 00:00:00,104.5,31.8,88.18
2008-09-25 00:00:00,106.623,21.3,97.63
2008-09-25 00:00:00,105.4167,23.1667,94.07
2008-09-25 00:00:00,104.0,21.25,94.57
2008-09-28 00:00:00,121.67,24.8,84.1
2008-09-28 00:00:00,121.57,24.995,83.66
2008-09-28 00:00:00,30.458,40.69,75.6
2008-09-30 00:00:00,41.8,41.7,81.65
2008-09-30 00:00:00,100.24,5.34,95.39
2008-10-02 00:00:00,122.29,12.58,81.77
